project,district,marketSegment,startYear,cleanTenure
SIGNATURE AT YISHUN,27,OCR,2014,99
SIGNATURE PARK,21,RCR,1000,1000
SIMEI GREEN CONDOMINIUM,18,OCR,1996,99
SIMS URBAN OASIS,14,RCR,2014,99
SIMSVILLE,14,RCR,1994,99
SKY VUE,20,RCR,2013,99
SKY@ELEVEN,11,CCR,1000,1000
SKYLINE @ ORCHARD BOULEVARD,9,CCR,1000,1000
SKYLINE RESIDENCES,4,RCR,1000,1000
SKYPARK RESIDENCES,27,OCR,2013,99
SKYSUITES17,12,RCR,1000,1000
SOL ACRES,23,OCR,2014,99
SOLEIL @ SINARAN,11,CCR,2006,99
SOMMERVILLE PARK,10,CCR,1000,1000
SOPHIA HILLS,9,CCR,2013,99
SOUTHAVEN II,21,OCR,1877,999
SPRING GROVE,10,CCR,1991,99
SPRINGHILL,27,OCR,2002,99
ST ANNE'S WOOD,19,OCR,1875,999
ST FRANCIS LODGE,12,RCR,1000,1000
ST REGIS RESIDENCES SINGAPORE,10,CCR,1995,999
STARLIGHT SUITES,9,CCR,1000,1000
STRATA,11,CCR,1000,1000
SUITES @ EUNOS,14,OCR,1000,1000
SUMMERDALE,22,OCR,1997,99
SUMMERHILL,21,OCR,1000,1000
SUNGLADE,19,OCR,2000,99
SUNVILLE,12,RCR,1000,1000
SUTTON PLACE,10,CCR,1000,1000
SYMPHONY SUITES,27,OCR,2014,99
TANAH MERAH GREEN,16,OCR,1997,99
TANGLIN VIEW,3,RCR,1997,99
TEMBELING CENTRE,15,RCR,1000,1000
TEN @ SUFFOLK,11,CCR,1000,1000
TERRASSE,19,OCR,2010,99
THE AMORE,19,OCR,2013,99
THE ARC AT DRAYCOTT,10,CCR,1000,1000
THE ARCADIA,11,CCR,1979,99
THE ARISTO @ AMBER,15,RCR,1000,1000
THE ARTE,12,RCR,1000,1000
THE BAYSHORE,16,OCR,1993,99
THE BELVEDERE,15,RCR,1000,1000
THE BENTLY RESIDENCES@KOVAN,19,OCR,1000,1000
THE BROWNSTONE,27,OCR,2014,99
THE CLEARWATER,16,OCR,1997,99
THE CLIFT,1,CCR,2004,99
THE CREEK @ BUKIT,21,RCR,1000,1000
THE CREST,3,RCR,2012,99
THE CRITERION,27,OCR,2014,99
THE DAIRY FARM,23,OCR,1000,1000
THE EBONY,14,OCR,1000,1000
THE EDEN AT TAMPINES,18,OCR,2000,99
THE ELEGANCE @ CHANGI,15,RCR,1000,1000
THE ESTA,15,RCR,1000,1000
THE ESTUARY,27,OCR,2008,99
THE FLORAVALE,22,OCR,1997,99
THE FORD @ HOLLAND,10,CCR,1000,1000
THE GARDENS AT BISHAN,20,RCR,1997,99
THE GERANIUM,15,RCR,1000,1000
THE GLADES,16,OCR,2013,99
THE INFINITI,5,OCR,1000,1000
THE INTERLACE,4,RCR,2009,99
THE LAKESHORE,22,OCR,2002,99
THE LINEAR,23,OCR,1876,999
THE LOFT,10,CCR,1999,99
THE LUXURIE,19,OCR,2011,99
THE MADEIRA,23,OCR,2000,99
THE MAKENA,15,RCR,1000,1000
THE MAYFAIR,22,OCR,1996,99
THE MERCURY,10,CCR,1000,1000
THE METROPOLITAN CONDOMINIUM,3,RCR,2006,99
THE MINTON,19,OCR,2007,99
THE MORNINGSIDE,9,CCR,1000,1000
THE NAUTICAL,27,OCR,2011,99
THE NEXUS,21,RCR,1000,1000
THE PALETTE,18,OCR,2010,99
THE PANORAMA,20,OCR,2013,99
THE PARC CONDOMINIUM,5,OCR,1000,1000
THE PARK VALE,11,CCR,1874,999
THE PEARL @ MOUNT FABER,4,RCR,2002,99
THE POIZ RESIDENCES,13,RCR,2014,99
THE QUINTET,23,OCR,2003,99
THE REGALIA,9,CCR,1000,1000
THE REGENCY AT TIONG BAHRU,3,RCR,1000,1000
THE RISE @ OXLEY - RESIDENCES,9,CCR,1000,1000
THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,9,CCR,1000,1000
THE RIVERINA,18,OCR,1996,99
THE SAIL @ MARINA BAY,1,CCR,2002,99
THE SANTORINI,18,OCR,2013,99
THE SEAWIND,15,OCR,1000,1000
THE SHORE RESIDENCES,15,RCR,2009,103
THE SIXTH AVENUE RESIDENCES,10,CCR,1000,1000
THE SKYWOODS,23,OCR,2012,99
THE SPRINGSIDE,26,OCR,1000,1000
THE SUMMIT,16,OCR,1000,1000
THE SUNNY SPRING,14,RCR,1000,1000
THE SUNSHINE,19,OCR,1000,1000
THE TENERIFFE,10,CCR,1996,99
THE TERRACE,19,OCR,2013,99
THE TESSARINA,10,CCR,1000,1000
