project,district,marketSegment,startYear,cleanTenure
ROBERTSON 100,9,CCR,1000,1000
SEMBAWANG GARDENS ARCADE,27,OCR,1000,1000
SIEW LIM PARK,16,OCR,1000,1000
SIMS GREEN,14,RCR,2001,99
SMART SUITES,14,RCR,1000,1000
SPRING @ KATONG,15,RCR,1000,1000
SPRINGWOOD,5,RCR,1000,1000
ST PATRICK'S GREEN,15,OCR,1000,1000
ST THOMAS SUITES,9,CCR,1000,1000
STRAITS MANSIONS,15,RCR,1000,1000
SUITES @ GUILLEMARD,15,RCR,1000,1000
SUITES @ KOVAN,19,OCR,1000,1000
SUITES DE LAUREL,21,RCR,1885,999
SUITES@ KATONG,15,RCR,1000,1000
SUNFLOWER RESIDENCE,14,RCR,1000,1000
SUNNY PALMS,15,OCR,1000,1000
SUNRISE VILLA,28,OCR,1000,1000
SUNSHINE LODGE,19,OCR,1000,1000
SWISS CLUB PARK,11,CCR,1000,1000
TANGERINE GROVE,19,OCR,1000,1000
TERRA VILLAS,14,OCR,1000,1000
THE ABERDEEN,12,RCR,1000,1000
THE AMARELLE,15,RCR,1000,1000
THE CARPMAELINA,15,RCR,1000,1000
THE CHANCERY RESIDENCE,11,CCR,2004,99
THE GARDENS AT GERALD,28,OCR,1879,999
THE HILLIER,23,OCR,2011,99
THE INGLEWOOD,20,RCR,1000,1000
THE LAKEFRONT RESIDENCES,22,OCR,2010,99
THE LIGHT @ CAIRNHILL,9,CCR,1000,1000
THE LINCOLN MODERN,11,CCR,1000,1000
THE LUCENT,15,OCR,1000,1000
THE MEDLEY,15,OCR,1000,1000
THE MORNINGTON,12,RCR,1000,1000
THE PROMENADE@PELIKAT,19,OCR,1000,1000
THE SPINNAKER,11,CCR,1000,1000
THE STELLAR,5,OCR,1000,1000
THE SUITES AT CENTRAL,9,CCR,1000,1000
THE TENNERY,23,OCR,2010,99
THE TOPIARY,28,OCR,2012,99
THE TRIZON,10,CCR,1000,1000
THOMSON GRAND,20,RCR,2010,99
THOMSON GROVE,26,OCR,1000,1000
TOH TUCK LODGE,21,RCR,1000,1000
TREASURE CREST,19,OCR,2015,99
TREASURES@G19,14,RCR,1000,1000
TRILIGHT,11,CCR,1000,1000
TWENTYONE ANGULLIA PARK,9,CCR,1000,1000
UNITED MANSION,15,OCR,1000,1000
URBANA,9,CCR,1000,1000
VENTURA HEIGHTS,10,CCR,1000,1000
VICTORIA PARK VILLAS,10,CCR,2013,99
VILLA DELLE ROSE,10,CCR,1000,1000
VILLE ROYALE,9,CCR,1000,1000
WILKINSON 8,15,RCR,1000,1000
WING FONG COURT,14,RCR,1000,1000
WING ON LIFE GARDEN,10,CCR,1000,1000
YEW LIAN PARK,20,RCR,1000,1000
YONG SIAK VIEW,3,RCR,1000,1000
ALBA,9,CCR,1000,1000
ARTHUR MANSIONS,15,RCR,1000,1000
AURALIS,15,OCR,1000,1000
BEAU VISTA,14,OCR,1000,1000
BEDOK GROVE,16,OCR,1000,1000
BEDOK RIA,16,OCR,1000,1000
BLUWATERS 2,17,OCR,1938,946
BOTANIC GARDENS MANSION,10,CCR,1000,1000
BRADDELL HEIGHTS ESTATE,13,OCR,1000,1000
BRIGHTON CREST,19,OCR,1000,1000
BRIZAY PARK,10,CCR,1000,1000
CARLYX GREEN,8,RCR,1000,1000
CARLYX RESIDENCE,8,RCR,1000,1000
CATHAY GARDEN,15,OCR,1000,1000
CHERRYHILL,19,OCR,1000,1000
CHOON KIM HOUSE,19,OCR,1000,1000
CITYVISTA RESIDENCES,9,CCR,1000,1000
CLEMENTI GARDENS,21,RCR,1000,1000
CLIFTEN,10,CCR,1000,1000
CLOVER PARK,20,RCR,1000,1000
CORONATION VILLAGE,10,CCR,1875,999
CRYSTAL LODGE,14,RCR,1000,1000
CUBIK,15,OCR,1000,1000
D' CASTILIA,15,RCR,1000,1000
D' HILLSIDE LOFT,5,RCR,1000,1000
D'ECOSIA,15,OCR,1000,1000
DERBY COURT,11,CCR,1000,1000
DOMAIN 21,3,RCR,2004,99
EASTERN LAGOON,15,OCR,1000,1000
EIS RESIDENCES,15,RCR,1000,1000
ELLIOT AT THE EAST COAST,15,OCR,1000,1000
EMERALD HILL CONSERVATION AREA,9,CCR,1000,1000
ESCADA VIEW,14,OCR,1000,1000
ESPADA,9,CCR,1000,1000
EVELYN MANSIONS,11,CCR,1000,1000
FONTAINE PARRY,19,OCR,1883,999
FUDU PARK,26,OCR,1000,1000
GAIA,12,RCR,1000,1000
GEMINI APARTMENTS,15,OCR,1000,1000
GOLD LEAF MANSIONS,15,OCR,1000,1000
GOLDEN RISE ESTATE,21,RCR,1000,1000
H RESIDENCES,15,OCR,1000,1000
HARBOUR VIEW GARDENS,5,RCR,1000,1000
HIGHLAND COTTAGES,19,OCR,1000,1000
HILLCREST PARK,11,CCR,1000,1000
HILLVIEW 128,23,OCR,1885,999
HOLLAND RESIDENCES,10,CCR,1000,1000
HONG HENG TERRACE,26,OCR,1000,1000
IRIDIUM,11,CCR,1000,1000
JEWEL OF BALMORAL,10,CCR,1000,1000
JIA,9,CCR,1000,1000
JIN DING GARDEN,16,OCR,1000,1000
JULUCA,5,RCR,1000,1000
KENTISH GREEN,8,RCR,1995,99
KEW GATE,16,OCR,1994,99
LE REVE,14,OCR,1000,1000
LEONIE PARC VIEW,9,CCR,1000,1000
LIVINGSTON MANSIONS,15,OCR,1000,1000
MANDARIN PARK,21,RCR,1000,1000
MENDON SPRING,5,RCR,1000,1000
MERLOT VILLE,15,OCR,1000,1000
METRO LOFT,14,RCR,1000,1000
MING TECK PARK,10,CCR,1876,999
MUTIARA CREST,10,CCR,1000,1000
MY MANHATTAN,18,OCR,2010,99
ONE FORT,15,RCR,1000,1000
ONZE @ TANJONG PAGAR,2,RCR,1000,1000
PALM GALLERIA,15,OCR,1000,1000
PALM OASIS,15,OCR,1000,1000
PARBURY HILL CONDOMINIUM,16,OCR,1000,1000
PARC SOMME,8,RCR,2008,99
PARRY PARK,19,OCR,1877,999
PARRYVILLE,19,OCR,1883,999
PASIR PANJANG GARDENS,5,OCR,1000,1000
PASIR RIS BEACH PARK,18,OCR,1874,999
PEIRCE VILLAS,10,CCR,1000,1000
PINEHURST CONDOMINIUM,15,OCR,1000,1000
PRIVE,19,OCR,2010,99
QUBE SUITES,14,OCR,1000,1000
RAFFLES PARK,11,CCR,1000,1000
REZI 26,14,RCR,1000,1000
RICCHEZZA,15,OCR,1000,1000
RITZ REGENCY,15,RCR,1000,1000
ROCHELLE AT NEWTON,11,CCR,2008,99
ROYCE RESIDENCES,14,RCR,1000,1000
RV SUITES,10,CCR,1000,1000
SANTA FE MANSIONS,15,RCR,1000,1000
SAVOY PARK,21,RCR,1000,1000
SEAHILL,5,OCR,2011,99
SEMBAWANG STRAITS ESTATE,27,OCR,1000,1000
SERENE PARK,28,OCR,1000,1000
SHANGRI-LA PARK,20,OCR,1000,1000
SHEARES VILLE,10,CCR,1000,1000
SIN CHUAN GARDEN,14,OCR,1000,1000
SOUTHBANK,7,RCR,2006,99
SPOTTISWOODE 18,2,RCR,1000,1000
SPOTTISWOODE SUITES,2,RCR,1000,1000
SPRINGLEAF GARDEN,26,OCR,1000,1000
STRATTON GREEN,28,OCR,1000,1000
SUITES @ SHREWSBURY,11,CCR,1000,1000
SUITES AT BUKIT TIMAH,21,RCR,1000,1000
SUNSHINE PLAZA,7,RCR,1997,99
SUNSHINE REGENCY,15,RCR,1000,1000
SUNSHINE RESIDENCE,15,OCR,1000,1000
THE AMBIENCE,19,OCR,1874,999
THE AMBROSIA,15,OCR,1000,1000
THE ASTON,10,CCR,1000,1000
THE CAPRI,10,CCR,1000,1000
THE CRISTALLO,15,OCR,1000,1000
THE FORESTA @ MOUNT FABER,4,RCR,1000,1000
THE GRANDHILL,5,RCR,1000,1000
THE INFLORA,17,OCR,2012,99
THE METZ,9,CCR,1000,1000
THE PATERSON EDGE,9,CCR,1000,1000
THE ROCHESTER RESIDENCES,5,RCR,2005,99
THOMSON V ONE,20,RCR,2001,99
THOMSON V TWO,20,RCR,1000,1000
VENTURA VIEW,15,RCR,1000,1000
VIBES @ EAST COAST,15,OCR,1000,1000
WATERLOO VIEW,7,RCR,1000,1000
WATTEN ESTATE,11,CCR,1000,1000
WEMBLY RESIDENCES,19,OCR,1000,1000
WESTCOVE CONDOMINIUM,5,OCR,1995,99
WILKIE COURT,9,CCR,1000,1000
WILKIE STUDIO,9,CCR,1000,1000
WOOLLERTON PARK,10,CCR,1000,1000
283 STUDIO,9,CCR,1841,999
368 THOMSON,11,CCR,1000,1000
76 SHENTON,2,CCR,2007,99
8 RODYK,9,CCR,1000,1000
ADAM PLACE,11,CCR,1000,1000
ADELPHI PARK ESTATE,20,RCR,1000,1000
AIRSTREAM,12,RCR,1000,1000
ALESSANDREA,3,RCR,1000,1000
AMBER PARK (DEMOLISHED),15,RCR,1000,1000
APLETON VIEW,11,CCR,1000,1000
BANYAN CONDOMINIUM,5,RCR,1000,1000
BAYVILLE CONDOMINIUM,5,RCR,1000,1000
BELLERIVE,10,CCR,1000,1000
BOTANIC GARDENS VIEW,10,CCR,1000,1000
BOUNDARY GARDENS,19,OCR,1000,1000
CABANA,28,OCR,2009,103
CAIFU VIEW,19,OCR,1000,1000
CASA ESPANIA,19,OCR,1000,1000
CHAPEL LODGE,15,RCR,1000,1000
CHATEAU LE FAME,10,CCR,1000,1000
CHELSEA GARDENS,10,CCR,1000,1000
CHUAN GREEN,19,OCR,1997,99
CITY REGENCY,12,RCR,1000,1000
CLYDESWOOD,13,OCR,1000,1000
CRESCENDO PARK,15,OCR,1000,1000
D' DALVEY,10,CCR,1000,1000
D'CHATEAU @ SHELFORD,11,CCR,1000,1000
ENG HOON MANSIONS,3,RCR,1000,1000
FANTA GARDEN,28,OCR,1000,1000
FORT GARDENS,15,RCR,1000,1000
FUYONG ESTATE,23,OCR,1947,99
GENTLE VILLAS,11,CCR,1993,99
GILSTEAD TWO,11,CCR,1000,1000
GRANDLINK SQUARE,14,RCR,1000,1000
HARVEST MANSIONS,3,RCR,1993,99
HEETON CLASSIC,26,OCR,1000,1000
HILLS APARTMENT,11,CCR,1000,1000
HILLVIEW APARTMENTS,23,OCR,1000,1000
HONG HENG GARDEN,26,OCR,1000,1000
ISLAND VIEW,5,RCR,1000,1000
JANSEN 8,19,OCR,1000,1000
KIM SIA COURT,9,CCR,1000,1000
KINGSGROVE,20,OCR,1000,1000
L'VIV,11,CCR,1000,1000
LADYHILL PARK,10,CCR,1000,1000
LEEDON 2,10,CCR,1000,1000
LENTOR VILLAS,26,OCR,1000,1000
LIGHTHOUSE,17,OCR,1993,99
LIRIA TERRACE,17,OCR,1000,1000
LUSH ON HOLLAND HILL,10,CCR,1000,1000
M21,11,CCR,1000,1000
MEADOWLODGE,21,RCR,1997,99
MERALODGE,23,OCR,1000,1000
MIRAGE TOWER,9,CCR,1000,1000
MOUNT SINAI RESIDENCES,10,CCR,1885,999
MUGLISTON HILL,28,OCR,1886,999
NANYANG PARK,19,OCR,1881,999
NOVA 48,12,RCR,1000,1000
NOVENA LODGE,11,CCR,1000,1000
OLA RESIDENCES,15,RCR,1000,1000
ONE DUSUN RESIDENCES,12,RCR,1000,1000
ONE K GREENLANE,15,RCR,1000,1000
ONE LYNWOOD,13,OCR,1000,1000
PARKVIEW ECLAT,10,CCR,1000,1000
PASIR PANJANG LODGE,5,RCR,1000,1000
PRESIDENT GARDENS,26,OCR,1000,1000
REGENCY LODGE,10,CCR,1000,1000
RESIDENCE 118,15,OCR,1000,1000
RESIDENCES 88,14,OCR,1000,1000
SIMS RESIDENCES,14,RCR,1997,99
SIN MING PLAZA,20,RCR,1000,1000
SUITES 28,14,RCR,1000,1000
SUITES @ TOPAZ,12,RCR,1000,1000
SUITES TWENTY-TWO,15,OCR,1000,1000
SUITES@CHANGI,14,RCR,1000,1000
SUNBIRD PARK,16,OCR,1000,1000
TAN TONG MENG TOWER,11,CCR,1000,1000
THE BELLEFORTE,12,RCR,1000,1000
THE BELMONT,10,CCR,1000,1000
THE GREENWOOD,11,CCR,1000,1000
THE LINC,11,CCR,1000,1000
THE PIER AT ROBERTSON,9,CCR,1000,1000
THE SILVERTON,15,RCR,1000,1000
THE TOMLINSON,10,CCR,1000,1000
THE WATERLINE,19,OCR,1000,1000
TRE RESIDENCES,14,RCR,2014,99
TRELLIS TOWERS,12,RCR,1000,1000
TREVOSE PARK,11,CCR,1000,1000
UNIT 8,10,CCR,1000,1000
VISTA GARDEN,21,RCR,1000,1000
WATTEN RESIDENCES,11,CCR,1000,1000
WHITESCAPE,15,OCR,1000,1000
YONG AN PARK,9,CCR,1000,1000
ALPHA APARTMENTS,15,RCR,1000,1000
AMBER RESIDENCES,15,RCR,1000,1000
ASTON MANSIONS,14,RCR,1995,99
ASTOR,14,OCR,2002,99
BAYWATER,16,OCR,2001,99
BLISS RESIDENCES,14,OCR,1000,1000
BUTTERWORTH VIEW,15,RCR,1000,1000
CAMELOT BY-THE-WATER,15,RCR,1996,99
CASA NOVACREST,9,CCR,1000,1000
CHANGI HEIGHTS,17,OCR,1000,1000
CLIVEDEN AT GRANGE,10,CCR,1000,1000
CLYDES RESIDENCE,8,RCR,1000,1000
COUNTRY PARK CONDOMINIUM,16,OCR,1000,1000
D' FRESCO,15,RCR,1000,1000
DRAYCOTT EIGHT,10,CCR,1997,99
ECOVILLE,12,RCR,1000,1000
EUNOS MANSION,14,OCR,1000,1000
EURO-ASIA APARTMENTS,12,RCR,1000,1000
EURO-ASIA LODGE,15,RCR,1000,1000
FONTANA HEIGHTS,10,CCR,1000,1000
FOREST WOODS,19,OCR,2016,99
GRANGE RESIDENCES,10,CCR,1000,1000
GREENRIDGE,21,RCR,1000,1000
HORIZON GREEN,20,OCR,1995,99
ILLUMINAIRE ON DEVONSHIRE,9,CCR,1000,1000
KATONG PARK TOWERS,15,RCR,1982,99
KIM KEAT HOUSE,12,RCR,1000,1000
KOVAN REGENCY,19,OCR,2012,99
LENTOR VIEW,26,OCR,1000,1000
M66,12,RCR,1000,1000
MILLAGE,14,RCR,1000,1000
MORIMASA GARDENS,11,CCR,1000,1000
NAMLY COURT,10,CCR,1000,1000
NORMANTON PARK (DEMOLISHED),5,RCR,1977,102
ONE ST MICHAEL'S,12,RCR,1000,1000
ORCHARD TOWERS,9,CCR,1000,1000
ORION,10,CCR,1000,1000
PALM LODGE,14,RCR,1000,1000
PARC SEABREEZE,15,RCR,1000,1000
PASADENA,11,CCR,1000,1000
PINNACLE 16,12,RCR,1000,1000
POH HUAT GARDENS,19,OCR,1883,999
PRIMO RESIDENCES,19,OCR,1000,1000
PRINCETON VALE,19,OCR,1996,99
QUINTERRA,10,CCR,2006,99
REGAL COURT,12,RCR,1000,1000
RESIDENCES @ SOMME,8,RCR,1000,1000
RIVER VALLEY APARTMENTS,10,CCR,1000,1000
SANDALWOOD,15,RCR,1000,1000
SEA AVENUE RESIDENCES,15,RCR,1000,1000
SEASCAPE,4,CCR,2007,99
SEASIDE PARK,15,OCR,1000,1000
SERAYA BREEZE,15,RCR,1000,1000
SIGLAP PARK,15,OCR,1000,1000
SIGNATURE AT LEWIS,10,CCR,1000,1000
SILVER HILL,19,OCR,1936,945
SOPHIA 98,9,CCR,1000,1000
SOPHIA LODGE,9,CCR,1000,1000
SOUTHAVEN I,21,OCR,1994,99
SPOTTISWOODE PARK,2,RCR,1973,99
SUFFOLK PREMIER,11,CCR,1000,1000
SUITES 123,8,RCR,1000,1000
SUITES @ NEWTON,11,CCR,1000,1000
TAIPAN REGENCY,15,RCR,1000,1000
THE ALPS RESIDENCES,18,OCR,2015,99
THE CHUAN,19,OCR,1877,999
THE LADYHILL,10,CCR,1000,1000
THE LENOX,14,OCR,1000,1000
THE PEAK @ CAIRNHILL I,9,CCR,1000,1000
THE VIRIDIAN,12,RCR,1000,1000
THE WOODS,22,OCR,2010,99
TREASURE GARDENS,19,OCR,1000,1000
VA RESIDENCES,12,RCR,1000,1000
VIBES @ KOVAN,19,OCR,1000,1000
VIVACE,9,CCR,1841,999
VIZ AT HOLLAND,10,CCR,1000,1000
WELLINGTON PARK,20,OCR,1000,1000
WEST SHORE RESIDENCES,5,RCR,1000,1000
8 EDEN GROVE,19,OCR,1000,1000
ATELIER VILLAS,26,OCR,1000,1000
BINJAI CREST,21,RCR,1996,99
BISHOPSGATE RESIDENCES,10,CCR,1000,1000
BOTANIC @ CLUNY PARK,10,CCR,1000,1000
CASA JERVOIS,10,CCR,1000,1000
CASHEW PARK CONDOMINIUM,23,OCR,1882,999
CENTRA SUITES,14,RCR,1000,1000
CENTRAL MEADOWS,14,RCR,1000,1000
CHARLTON 18,19,OCR,1000,1000
CHWEE CHIAN VIEW,5,RCR,1000,1000
CITY TOWERS,10,CCR,1000,1000
COASTAL VIEW RESIDENCES,17,OCR,1885,999
CUSCADEN MANSIONS,10,CCR,1000,1000
EAST TREASURE,15,OCR,1000,1000
EAST VIEW GARDEN,16,OCR,1000,1000
FABER GARDEN,20,RCR,1000,1000
GALLOP GABLES,10,CCR,1000,1000
GERALD GARDENS,28,OCR,1879,999
GISBORNE LIGHT,10,CCR,1000,1000
GOODVIEW APARTMENTS,14,RCR,1000,1000
HAIG APARTMENTS,15,RCR,1000,1000
HALLMARK RESIDENCES,10,CCR,1000,1000
ISUITES @ MARSHALL,15,RCR,1000,1000
KIM LIN PARK,10,CCR,1000,1000
KING'S GARDEN,10,CCR,1875,999
KINGSTON TERRACE,14,OCR,1000,1000
LA SUISSE,11,CCR,1878,999
LE CRESCENDO,14,RCR,1000,1000
LEONIE GARDENS,9,CCR,1990,99
LOFT @ RANGOON,8,RCR,1000,1000
MARINA COLLECTION,4,CCR,2007,99
ONAN SUITES,15,RCR,1000,1000
ONE BALMORAL,10,CCR,1000,1000
PALM HAVEN,19,OCR,1876,999
PALM TREE NINES,16,OCR,1000,1000
PARC MONDRIAN,13,RCR,1000,1000
PARC RIVIERA,5,OCR,2015,99
PARK VIEW MANSION,22,OCR,1976,99
PARRY COURT,19,OCR,1886,999
PARRY GREEN,19,OCR,1996,99
QUEENS PEAK,3,RCR,2015,99
RAJAH TOWERS,12,RCR,1000,1000
SARACA VILLAS,28,OCR,1997,99
SOPHIA RESIDENCE,9,CCR,1000,1000
SOVEREIGN @ SIMON,19,OCR,1884,999
SUITES @ OWEN,8,RCR,1000,1000
SUITES @ SIMS,14,RCR,1000,1000
SUITES @ SURREY,11,CCR,1000,1000
SUNGROVE,5,OCR,1994,99
SUNSHINE MANSIONS,15,OCR,1000,1000
TELOK BLANGAH HOUSE,4,RCR,1000,1000
TEMBELINA,15,RCR,1000,1000
TEMBELING GROVE,15,RCR,1000,1000
THE BAYCOURT,16,OCR,1000,1000
THE GLENCAIRD RESIDENCES,10,CCR,1000,1000
THE SOUND,15,OCR,1000,1000
THE TRESOR,10,CCR,1875,999
THE VERTE,15,OCR,1000,1000
TUDOR VIEW,11,CCR,1000,1000
TULIP GARDEN,10,CCR,1000,1000
VIDA,9,CCR,1000,1000
WATERCREST,17,OCR,1885,999
WHITEHAVEN,5,RCR,1000,1000
WOODGROVE ESTATE,25,OCR,1993,99
38 JERVOIS,10,CCR,1000,1000
ALANA,28,OCR,2013,103
ASTON GREEN,19,OCR,1000,1000
BAGNALL COURT,16,OCR,1000,1000
BALESTIER PLAZA,12,RCR,1000,1000
BARTLEY VILLAS,19,OCR,1993,99
BEDOKVILLE,16,OCR,1878,999
BELLEZZA @ KATONG,15,RCR,1000,1000
BLOSSOM RESIDENCES,23,OCR,2011,99
BLUWATERS,17,OCR,1938,946
BOULEVARD VUE,10,CCR,1000,1000
BUCKLEY 18,11,CCR,1000,1000
CEYLON RESIDENCE,15,RCR,1000,1000
EASTWOOD VILLE,16,OCR,1995,99
ENVIO,15,OCR,1000,1000
EUNOS GREEN,14,OCR,1000,1000
GILSTEAD COURT,11,CCR,1000,1000
GOODMAN CREST,15,RCR,1000,1000
HAIG 162,15,RCR,1000,1000
HARBOURLIGHTS,4,RCR,1000,1000
HOLLANDIA,10,CCR,1000,1000
HUA GUAN GARDENS,21,RCR,1883,999
JERVOIS REGENCY,10,CCR,1000,1000
KNOX VIEW,15,OCR,1000,1000
KOVAN CREST,19,OCR,1000,1000
LANGE 28,19,OCR,1878,999
LITTLE INDIA CONSERVATION AREA,8,RCR,1000,1000
LOYANG TOWNHOUSES,17,OCR,1938,946
MANSIONS 28,14,RCR,1000,1000
MONTCLAIR @ WHITLEY,11,CCR,1000,1000
NATHAN RESIDENCES,10,CCR,1000,1000
ONE @ PULASAN,15,RCR,1000,1000
PALMWOODS,16,OCR,1996,99
PERPETUAL APARTMENTS,14,RCR,1967,999
PIN MANSIONS,19,OCR,1000,1000
POSHGROVE EAST,15,OCR,1000,1000
PRESTO@UPPER SERANGOON,19,OCR,1000,1000
RESIDENCES @ KILLINEY,9,CCR,1000,1000
SARACA GARDENS,28,OCR,1000,1000
SEAVIEW PARK,15,RCR,1000,1000
SIMS MEADOWS,14,RCR,1000,1000
SPRING @ LANGSAT,15,RCR,1000,1000
SUITES@BRADDELL,13,OCR,1000,1000
SUNFLOWER GRANDEUR,14,RCR,1000,1000
THE CENTRIO,12,RCR,1000,1000
THE HILLFORD,21,RCR,2013,60
THE MORNING GLORY,19,OCR,1000,1000
THE SPRINGS,11,CCR,1000,1000
THE TAMPINES TRILLIANT,18,OCR,2011,99
TIONG BAHRU ESTATE,3,RCR,1000,1000
VALLEY MANSION,9,CCR,1000,1000
WESTPEAK TERRACE,5,OCR,1000,1000
AMARANDA GARDENS,19,OCR,1000,1000
BARTLEY RISE ESTATE,19,OCR,1000,1000
CASA ESPERANZA,21,RCR,1000,1000
CASA SARINA,14,OCR,1000,1000
CASCADALE,16,OCR,1000,1000
CLAYMORE PLAZA,9,CCR,1000,1000
DAISY SUITES,13,OCR,1000,1000
DLV.,10,CCR,1000,1000
DORSETT RESIDENCES,2,RCR,2009,99
EASTWIND MANSIONS,15,RCR,1000,1000
EMERALD EAST,15,RCR,1000,1000
EVERITT GREEN,15,RCR,1000,1000
FERNHILL PLACE,10,CCR,1000,1000
FIRST POINT SUITES,15,OCR,1000,1000
GREEN SPRINGS,28,OCR,1879,999
JAZZ RESIDENCES,19,OCR,1000,1000
KENT RESIDENCES,8,RCR,1000,1000
KUIE PONG LOFT,10,CCR,1000,1000
LAVERNE'S LOFT,15,OCR,1000,1000
MERGUI MANSIONS,8,RCR,1000,1000
MIMOSA PARK,28,OCR,1000,1000
MOUNTBATTEN REGENCY,15,RCR,1000,1000
NATURA@HILLVIEW,23,OCR,1000,1000
NICOLE GREEN,14,RCR,1000,1000
PASIR VIEW PARK,5,RCR,1000,1000
SEAVIEW POINT,15,RCR,1000,1000
SIGLAP V,15,OCR,1000,1000
SKY HABITAT,20,RCR,2011,99
SMAILING COURT,14,OCR,1000,1000
SYLVAN LODGE,10,CCR,1000,1000
TANAH MERAH MANSION,16,OCR,1000,1000
THE BEACON,2,RCR,2004,99
THE BOULEVARD RESIDENCE,10,CCR,1000,1000
THE GLACIER,15,OCR,1000,1000
THE PALLADIUM,15,RCR,1000,1000
THE PEAK @ CAIRNHILL II,9,CCR,1000,1000
VALVISTA,19,OCR,2001,99
WALLICH RESIDENCE,2,CCR,2011,99
WARNER COURT,10,CCR,1000,1000
WING FONG MANSIONS,14,RCR,1000,1000
ASPEN LINQ,9,CCR,1841,999
BIRMINGHAM MANSIONS,11,CCR,1000,1000
CHANCERY PARK,11,CCR,1000,1000
CHARMING GARDEN,10,CCR,1875,999
CHELSEA GROVE,12,RCR,1000,1000
COSY 23,14,RCR,1000,1000
CRADELS,12,RCR,1000,1000
D - HERITAGE APARTMENTS,14,OCR,1000,1000
D' ALMIRA,13,OCR,1000,1000
DUNEARN GARDENS,11,CCR,1000,1000
EAST VILLAGE,16,OCR,1000,1000
ENG KONG GREEN,21,RCR,1000,1000
FULTON HILL,20,RCR,1000,1000
GARDEN APARTMENTS,10,CCR,1000,1000
GENTLE REFLECTIONS,11,CCR,1000,1000
GILLENIA,19,OCR,1886,999
HERITAGE EAST,15,OCR,1000,1000
HOMEY GARDENS,15,OCR,1000,1000
ISLAND COUNTRY VILLAS,20,OCR,1995,99
JERVOIS JADE APARTMENTS,10,CCR,1998,99
JOO CHIAT VERBENA,15,OCR,1000,1000
KIM KEAT LODGE,12,RCR,1000,1000
LILAC PARK,28,OCR,1000,1000
LIMAU PARK,16,OCR,1000,1000
MARGATE POINT,15,RCR,1000,1000
MONTROSA,23,OCR,1885,999
MOONSTONE RESIDENCES,12,RCR,1000,1000
NASSIM MANSION,10,CCR,1000,1000
NOMU,9,CCR,1000,1000
ONE CHATSWORTH,10,CCR,1000,1000
PARC ASTON,13,RCR,1000,1000
PARC CENTENNIAL,9,CCR,1000,1000
PICARDY GARDENS,16,OCR,1000,1000
RACE COURSE 138,8,RCR,1000,1000
RAINBOW MANSION,10,CCR,1000,1000
RESIDENCES @ NOVENA,11,CCR,2000,99
RIDGEVALE GARDENS,21,RCR,1000,1000
RIVIERA 38,12,RCR,1882,999
STILL MANSIONS,15,OCR,1000,1000
SUMMERLEA GREEN,21,RCR,1995,99
TAI YUAN GARDEN,19,OCR,1000,1000
THE ADARA,15,RCR,1000,1000
THE ARECA,19,RCR,2000,99
THE ARIEL,15,RCR,1000,1000
THE CENTREN,14,RCR,1000,1000
THE CLEMENT CANOPY,5,OCR,2016,99
THE HELICONIA,14,OCR,1000,1000
THE LEGEND,10,CCR,1000,1000
THE LINCOLN RESIDENCES,11,CCR,1000,1000
THE MERASAGA,10,CCR,1991,99
TUAN SING PARK,28,OCR,1000,1000
URBAN HERITAGE,12,RCR,1000,1000
WAI WING CENTRE,12,RCR,1000,1000
WATER TERRACE,19,OCR,1000,1000
WESTVIEW GARDENS,5,OCR,1000,1000
YGK GARDEN,10,CCR,1000,1000
YUNNAN GARDENS,22,OCR,1000,1000
1919,9,CCR,1000,1000
2 RVG,9,CCR,1000,1000
21 RICHARDS,19,OCR,1000,1000
28 SHELFORD,11,CCR,1000,1000
ARDISIA GARDENS,19,OCR,1993,99
ASTON LODGE,14,RCR,1000,1000
BALESTIER REGENCY,12,RCR,1000,1000
BALMORAL 8,10,CCR,1000,1000
BALMORAL GATE,10,CCR,1000,1000
BALMORAL PLAZA,10,CCR,1000,1000
BELMONDO VIEW,12,RCR,1000,1000
CANBERLIN LODGE,14,RCR,1000,1000
CASA IRRAWADDY,12,RCR,1000,1000
CHANCERY CORNER,11,CCR,1000,1000
CHANCERY COURT,11,CCR,1981,99
CHANGI GROVE,17,OCR,1000,1000
CORAL ISLAND,4,CCR,2005,99
D'ELIAS,18,OCR,1881,999
D'OASIA,14,OCR,1000,1000
DE CASALLE,15,OCR,1000,1000
EASTBAY,15,OCR,1000,1000
ELEVEN @ HOLLAND,10,CCR,2010,99
EURO-ASIA PARK,13,RCR,1000,1000
FIFTH AVENUE CONDOMINIUM,10,CCR,1000,1000
FIORENZA,19,OCR,1000,1000
GABRIEL VILLAS,19,OCR,1993,99
GILSTEAD BROOKS,11,CCR,1000,1000
GLASGOW RESIDENCE,19,OCR,1886,999
GLOBAL VILLE,12,RCR,1000,1000
GRANDEUR PARK RESIDENCES,16,OCR,2016,99
GUILIN COURT,14,RCR,1000,1000
HOLLAND GREEN,10,CCR,1995,99
HOLLYWOOD APARTMENTS,9,CCR,1000,1000
INTERO,13,RCR,1000,1000
INZ RESIDENCE,23,OCR,2015,99
KELLETT COURT,11,CCR,1000,1000
KEMBANGAN PLAZA,14,OCR,1000,1000
KEW PLACE,16,OCR,1000,1000
KILLINEY 118,9,CCR,1000,1000
KINGS APARTMENTS,15,OCR,1000,1000
KINGSLEY MANSIONS,12,RCR,1000,1000
